rep,disparity,auc_mask,r2_within,r2_loso,r2_loso_mask,mask_gain,censor_rate
52,0.05,0.5755277777777777,0.23920814079052366,0.36995007197204677,0.3697658626156328,-0.00018420935641394465,0.06720833333333333
53,0.05,0.5671206018518519,0.205019078164572,0.36850417213078723,0.3686331649462461,0.00012899281545886154,0.06547222222222222
54,0.05,0.5655362268518518,0.17150421320704368,0.32337035722217056,0.32346595347077134,9.55962486007822e-05,0.06666666666666667
55,0.05,0.5687453703703703,0.3560049485213125,0.3390010275369232,0.3388271093147752,-0.00017391822214796182,0.0656111111111111
56,0.05,0.5703832175925926,0.21610649392199122,0.3351774039575932,0.33520539668965,2.7992732056780767e-05,0.06659722222222222
57,0.05,0.5777229166666666,0.34513496494431284,0.35438558386067653,0.3547308324383246,0.0003452485776480607,0.06670833333333333
58,0.05,0.5660217592592592,0.32176769826096885,0.3717376471356778,0.37147017638035373,-0.00026747075532407294,0.066875
59,0.05,0.5672297453703704,0.3358123337764307,0.41606934472050805,0.4157019958531908,-0.00036734886731726313,0.06768055555555555
60,0.05,0.5707116898148148,0.15384000362788752,0.2609781317986126,0.2609781317986126,0.0,0.067375
61,0.05,0.5764568287037037,0.12070211950325249,0.2722118410706299,0.27228024142320706,6.840035257715815e-05,0.06590277777777778
62,0.05,0.5593449074074074,0.14597717404149957,0.25646680175752157,0.256951459472183,0.0004846577146614406,0.06577777777777778
63,0.05,0.5497585648148148,0.22887447959622553,0.2939723569616407,0.2948672374022976,0.0008948804406568867,0.06576388888888889
64,0.05,0.5653921296296297,0.17349295911347362,0.3859594341312619,0.3864713746196332,0.0005119404883713319,0.0663611111111111
65,0.05,0.5529420138888889,0.3268991455558651,0.43477622432406116,0.4351975128991673,0.00042128857510614903,0.0665
66,0.05,0.561868287037037,0.2817951209743699,0.3391159086130032,0.3395504244142231,0.0004345158012198924,0.06705555555555555
67,0.05,0.560079861111111,0.21760276132721568,0.3190037764258118,0.3189148185692474,-8.89578565643756e-05,0.06691666666666667
68,0.05,0.574177662037037,0.08833507491017478,0.19271188547938511,0.19331222827600691,0.0006003427966218,0.06684722222222222
69,0.05,0.5593844907407407,0.1379833322133862,0.28078971091703697,0.28019831011344964,-0.0005914008035873275,0.06627777777777778
70,0.05,0.5609363425925925,0.18244642306329184,0.25929673014473154,0.2592752674998742,-2.1462644857361823e-05,0.06788888888888889
71,0.05,0.5598269675925925,0.39219867569638756,0.4471736198600109,0.4475465515668142,0.00037293170680330334,0.066
72,0.05,0.5724070601851852,0.20720516152411672,0.3124979131772325,0.31239332708217815,-0.00010458609505437089,0.06572222222222222
73,0.05,0.5704866898148148,0.22977004656507494,0.2958133874007367,0.29534119363645484,-0.00047219376428186965,0.06698611111111111
74,0.05,0.5695376157407407,0.22917906285510803,0.2836435642755081,0.2827720791588416,-0.0008714851166664594,0.06681944444444445
75,0.05,0.5555686342592593,0.26097249963719804,0.3686563682971604,0.3687674268640698,0.00011105856690940552,0.06543055555555556
76,0.05,0.5706703703703703,0.1940646943330948,0.4273814779738403,0.4274939063818848,0.00011242840804448484,0.06676388888888889
77,0.05,0.5698846064814814,0.2836242288542874,0.36993257353927556,0.36951399014145103,-0.0004185833978245235,0.06472222222222222
78,0.05,0.57165625,0.26195490343088035,0.3390127519586461,0.3390127519586461,0.0,0.06515277777777778
