rep,disparity,auc_mask,r2_within,r2_loso,r2_loso_mask,mask_gain,r2_pooled,r2_pooled_mask,mask_gain_pooled,inflation,censor_rate
42,0.0,0.49890127314814814,0.15060920431153813,0.2714485533749609,0.2714485533749609,0.0,0.30874119572893544,0.30874119572893544,0.0,0.03729264235397456,0.05
43,0.0,0.5027577546296297,0.20590621426068556,0.2630955887242692,0.2630955887242692,0.0,0.2574567063999409,0.2574567063999409,0.0,-0.005638882324328298,0.05
44,0.0,0.4760092592592593,0.13193896650072046,0.31134086432300867,0.31134086432300867,0.0,0.29465559265264096,0.29465559265264096,0.0,-0.016685271670367707,0.05
45,0.0,0.49433993055555553,0.19345690494943002,0.24822191519721926,0.24822191519721926,0.0,0.2859878127921258,0.2859878127921258,0.0,0.03776589759490656,0.05
46,0.0,0.48280578703703697,0.28483638737561734,0.3446606632901762,0.3446606632901762,0.0,0.3003237115740416,0.3003237115740416,0.0,-0.04433695171613461,0.05
47,0.0,0.5029570601851852,0.3317157044282735,0.3665845540041589,0.3665845540041589,0.0,0.3338291429638106,0.3338291429638106,0.0,-0.03275541104034829,0.05
48,0.0,0.5003240740740741,0.37063194870094307,0.29471069506026815,0.29471069506026815,0.0,0.3283098240493617,0.3283098240493617,0.0,0.03359912898909356,0.05
49,0.0,0.49867800925925926,0.12046086991564775,0.3015576060750198,0.3015576060750198,0.0,0.2287562490702334,0.2287562490702334,0.0,-0.0728013570047864,0.05
50,0.0,0.5209662037037037,0.32975939408007393,0.36065180778164874,0.36065180778164874,0.0,0.34656742371195504,0.34656742371195504,0.0,-0.0140843840696937,0.05
51,0.0,0.49562083333333334,0.12210362480355108,0.2477088168590662,0.2477088168590662,0.0,0.25389082089478876,0.25389082089478876,0.0,0.006182004035722555,0.05
52,0.0,0.48783622685185185,0.29461735775320386,0.388690997564901,0.388690997564901,0.0,0.41182525206452636,0.41182525206452636,0.0,0.023134254499625362,0.05
53,0.0,0.5004996527777777,0.4026836669505659,0.4202811978376455,0.4202811978376455,0.0,0.39632696099503717,0.39632696099503717,0.0,-0.023954236842608334,0.05
54,0.0,0.5089559027777778,0.28238614796946837,0.3784186654210371,0.3784186654210371,0.0,0.3612758962468402,0.3612758962468402,0.0,-0.01714276917419688,0.05
55,0.0,0.4786664351851852,0.2653634937970658,0.22478883637074687,0.22478883637074687,0.0,0.2335958455659939,0.2335958455659939,0.0,0.008807009195247018,0.05
56,0.0,0.4936581018518518,0.28755894893237466,0.36518398446623745,0.36518398446623745,0.0,0.38991507162478356,0.38991507162478356,0.0,0.024731087158546106,0.05
57,0.0,0.5109348379629629,0.3372038427577394,0.3429843807359497,0.3429843807359497,0.0,0.3572215588229468,0.3572215588229468,0.0,0.014237178086997093,0.05
58,0.0,0.4938829861111111,0.3485157676070636,0.33408667855672936,0.33408667855672936,0.0,0.33832489823722245,0.33832489823722245,0.0,0.004238219680493094,0.05
59,0.0,0.4950170138888889,0.18483459066310592,0.2666989162813487,0.2666989162813487,0.0,0.24226447739327361,0.24226447739327361,0.0,-0.02443443888807506,0.05
60,0.0,0.5137991898148148,0.2723135526850343,0.39276628709226313,0.39276628709226313,0.0,0.3501603579013317,0.3501603579013317,0.0,-0.042605929190931424,0.05
61,0.0,0.5112244212962963,0.15123168559900513,0.265418306430079,0.265418306430079,0.0,0.2164267180544457,0.2164267180544457,0.0,-0.04899158837563333,0.05
