k_features,draw,balanced_accuracy,balanced_accuracy_normalised,balanced_accuracy_null,balanced_accuracy_null_normalised,retention_disparity,retention_disparity_null,retention_pct_lowest_survey,retention_pct_highest_survey,retention_pct_pooled,retention_pct_GEMAS,retention_pct_NASGL,retention_pct_NGSA
5,25,0.38996240514193903,0.16988721542581714,0.3333333333333333,0.0,1.2214974957719393,1.0116283617846276,81.67300380228137,99.76336961665878,96.24622812311407,99.76336961665878,98.66172534486309,81.67300380228137
5,26,0.4281733105473056,0.2845199316419169,0.3333333333333333,0.0,1.5959711806071326,1.0103586074199769,62.50950570342205,99.76336961665878,88.69040434520217,99.76336961665878,90.96149886761376,62.50950570342205
5,27,0.6005802551814519,0.8017407655443557,0.3333333333333333,0.0,5.4707863355326465,1.0042918609986164,17.93288037883467,98.10695693327023,49.909474954737476,98.10695693327023,17.93288037883467,90.5703422053232
5,28,0.6649170861492771,0.9947512584478315,0.3333333333333333,0.0,346.1076330200798,1.085519203450664,0.2882437718756434,99.76336961665878,25.672902836451417,99.76336961665878,0.2882437718756434,0.38022813688212925
5,29,0.45312996046890364,0.35938988140671096,0.3333333333333333,0.0,1.9464218256069183,1.0319774383657938,51.254752851711025,99.76336961665878,84.69523234761618,99.76336961665878,87.19374099238213,51.254752851711025
5,30,0.6649170861492771,0.9947512584478315,0.3333333333333333,0.0,437.2961034863543,1.0358929535663368,0.22813688212927757,99.76336961665878,25.64876282438141,99.76336961665878,0.2882437718756434,0.22813688212927757
5,31,0.3333333333333333,0.0,0.3333333333333333,0.0,1.1338500236236415,1.005418201876211,86.98785258389952,98.63117870722434,91.76825588412795,98.48556554661619,86.98785258389952,98.63117870722434
5,32,0.5579944329235659,0.6739832987706977,0.3333333333333333,0.0,3.47980984206648,1.017934409069986,28.669201520912544,99.76336961665878,86.31261315630658,99.76336961665878,96.0675313979823,28.669201520912544
5,33,0.3333333333333333,0.0,0.3333333333333333,0.0,1.6310896560932024,1.013410351015284,60.38022813688213,98.48556554661619,83.10199155099578,98.48556554661619,82.56125180152357,60.38022813688213
5,34,0.3333333333333333,0.0,0.3333333333333333,0.0,2.714915154057746,1.027149676627845,34.82889733840304,94.55750118315191,75.35304767652384,94.55750118315191,77.96994029236154,34.82889733840304
5,35,0.606101630792747,0.8183048923782412,0.3333333333333333,0.0,5.563153688038022,1.062824693202331,17.93288037883467,99.76336961665878,51.575135787567895,99.76336961665878,17.93288037883467,98.40304182509506
5,36,0.6649170861492771,0.9947512584478315,0.3333333333333333,0.0,346.1076330200798,1.069583538130811,0.2882437718756434,99.76336961665878,25.72118286059143,99.76336961665878,0.2882437718756434,0.6844106463878328
5,37,0.4669788154501598,0.4009364463504794,0.3333333333333333,0.0,14.069451811572337,1.0587598073067035,3.067737286390776,43.16138192143871,19.118889559444778,43.16138192143871,3.067737286390776,39.77186311787072
5,38,0.6589224497712995,0.9767673493138987,0.3333333333333333,0.0,339.86850111554327,1.063991367793649,0.2882437718756434,97.9649787032655,25.25045262522631,97.9649787032655,0.2882437718756434,0.6083650190114068
5,39,0.46780236908409023,0.40340710725227075,0.3333333333333333,0.0,15.301812554191812,1.2352661107679637,2.820671196211653,43.16138192143871,15.71514785757393,43.16138192143871,2.820671196211653,19.23954372623574
5,40,0.606101630792747,0.8183048923782412,0.3333333333333333,0.0,5.563153688038022,1.028799535079855,17.93288037883467,99.76336961665878,51.647555823777914,99.76336961665878,17.93288037883467,98.85931558935361
5,41,0.6524340579767337,0.9573021739302012,0.3333333333333333,0.0,420.70042593469,1.106437444238556,0.22813688212927757,95.97728348319924,24.659022329511167,95.97728348319924,0.24706609017912293,0.22813688212927757
5,42,0.6649170861492771,0.9947512584478315,0.3333333333333333,0.0,437.2961034863543,1.0653705258313462,0.22813688212927757,99.76336961665878,25.64876282438141,99.76336961665878,0.2882437718756434,0.22813688212927757
5,43,0.46888614955644353,0.40665844866933065,0.3333333333333333,0.0,15.630667297681022,1.1432836852656374,2.7794935145151327,43.44533838144818,14.194327097163548,43.44533838144818,2.7794935145151327,9.35361216730038
5,44,0.5564446594660523,0.6693339783981569,0.3333333333333333,0.0,4.571039409265028,1.013078798199165,21.825095057034222,99.76336961665878,80.94146047073023,99.76336961665878,88.7584928968499,21.825095057034222
5,45,0.3333333333333333,0.0,0.3333333333333333,0.0,1.7696941978795724,1.0302478974198046,55.11632695079267,97.5390440132513,66.72299336149669,97.5390440132513,55.11632695079267,60.07604562737643
